"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "JSON", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\my-mfo\app\[lang]\mfos\[slug]\questions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"e:\my-mfo\app\[lang]\mfos\[slug]\reviews\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"e:\my-mfo\app\[lang]\mfos\filters\[filter]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 534, 0, 21, 32, 587
"e:\my-mfo\app\[lang]\mfos\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 534, 0, 21, 32, 587
"e:\my-mfo\app\[lang]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 3, 5, 64
"e:\my-mfo\app\[lang]\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 161, 0, 0, 10, 171
"e:\my-mfo\app\[lang]\reviews\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 289, 0, 9, 23, 321
"e:\my-mfo\app\[lang]\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 189, 0, 1, 11, 201
"e:\my-mfo\app\components\CompanyPage\HeaderCompany.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 3, 13, 190
"e:\my-mfo\app\components\CompanyPage\NavigationTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 46
"e:\my-mfo\app\components\CompanyPage\StatsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 1, 1, 42
"e:\my-mfo\app\components\CurrencyExchange\RateNbu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"e:\my-mfo\app\components\FinancialServicesBlocks\BankCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 46
"e:\my-mfo\app\components\FinancialServicesBlocks\BanksSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 6, 78
"e:\my-mfo\app\components\FinancialServicesBlocks\FeaturedCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"e:\my-mfo\app\components\FinancialServicesBlocks\MfoCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 1, 5, 46
"e:\my-mfo\app\components\FinancialServicesBlocks\MfoSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 5, 77
"e:\my-mfo\app\components\FinancialServicesBlocks\ServiceCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 5, 56
"e:\my-mfo\app\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 5, 7, 169
"e:\my-mfo\app\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 5, 6, 90
"e:\my-mfo\app\components\Header\DesktopNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 1, 6, 88
"e:\my-mfo\app\components\Header\MobileNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 7, 11, 142
"e:\my-mfo\app\components\Home\AboutServiceSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 217, 0, 3, 10, 230
"e:\my-mfo\app\components\Home\ClientReviews.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 8, 87
"e:\my-mfo\app\components\Home\CurrencyWidget.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 4, 7, 59
"e:\my-mfo\app\components\Home\FinancialServicesBlocks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 2, 10, 148
"e:\my-mfo\app\components\Home\NewsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 9, 154
"e:\my-mfo\app\components\Home\PromotedOffersSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 1, 7, 133
"e:\my-mfo\app\components\Reviews\ReviewCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 2, 56
"e:\my-mfo\app\components\Reviews\StatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 1, 5, 28
"e:\my-mfo\app\config\routesMap.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\my-mfo\app\data\navigationItems.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 86, 1, 111
"e:\my-mfo\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 20, 1, 4, 25
"e:\my-mfo\app\i18n\request.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"e:\my-mfo\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\my-mfo\app\messages\ru.json", "JSON", 0, 0, 0, 0, 616, 0, 0, 0, 0, 3, 619
"e:\my-mfo\app\messages\ua.json", "JSON", 0, 0, 0, 0, 617, 0, 0, 0, 0, 4, 621
"e:\my-mfo\app\services\authors\authorsService.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\my-mfo\app\services\authors\authorsTypes.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"e:\my-mfo\app\services\converter\converterService.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"e:\my-mfo\app\services\converter\converterTypes.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"e:\my-mfo\app\services\http.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"e:\my-mfo\app\services\news\newsService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\my-mfo\app\services\news\newsTypes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\my-mfo\app\sitemap.xml\route.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 7, 90
"e:\my-mfo\app\structured-data\ContactStructuredData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 3, 36
"e:\my-mfo\app\structured-data\MfoListStructuredData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
"e:\my-mfo\app\structured-data\MicrodataCompany.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 4, 40
"e:\my-mfo\app\structured-data\StructuredData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"e:\my-mfo\app\types\navigation.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\my-mfo\app\ui\Buttons\BlackButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"e:\my-mfo\app\ui\Buttons\BlueButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"e:\my-mfo\app\ui\Buttons\GrayButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"e:\my-mfo\app\ui\Buttons\GrayToBlueButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"e:\my-mfo\app\ui\Buttons\InfoButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"e:\my-mfo\app\ui\Popups\MFODetailsPopup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 239, 0, 7, 18, 264
"e:\my-mfo\app\utils\renderStars.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"e:\my-mfo\eslint.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\my-mfo\i18n.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\my-mfo\middleware.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"e:\my-mfo\next-sitemap.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\my-mfo\next.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 6, 17
"e:\my-mfo\package-lock.json", "JSON", 0, 0, 0, 0, 6135, 0, 0, 0, 0, 1, 6136
"e:\my-mfo\package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 45
"e:\my-mfo\postcss.config.mjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\my-mfo\public\1.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\my-mfo\public\2.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\my-mfo\public\3.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\my-mfo\public\4.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\my-mfo\public\6.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\my-mfo\public\Frame 108.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\my-mfo\public\Frame 137 (1).svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 137 (2).svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 137 (3).svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 137 (4).svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 137 (5).svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 137 (6).svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 137 (7).svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 137 (8).svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 137.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\my-mfo\public\Frame 163.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"e:\my-mfo\public\Frame 166.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\my-mfo\public\Frame 5.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\my-mfo\public\Frame 67.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\my-mfo\public\Frame 68.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\my-mfo\public\Frame 69.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\my-mfo\public\Frame 70.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\my-mfo\public\Frame 71.svg", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"e:\my-mfo\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\my-mfo\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\my-mfo\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\my-mfo\public\logo (1).svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"e:\my-mfo\public\logo.svg", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"e:\my-mfo\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\my-mfo\public\photo.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"e:\my-mfo\public\sitemap-0.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"e:\my-mfo\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\my-mfo\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\my-mfo\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\my-mfo\public\Швидко Гроші.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\my-mfo\tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 267, 22, 27, 23, 7412, 300, 7381, 20, 296, 623, 16371
